Fig. Number,Product Type,VIR Item Code,Product Category,Product Active,Manufacturer,Vendor Name,Sales End Date,Sales Start Date,Support Expiry Date,Support Start Date,Website,Serial No,Product Sheet,Size - mm,Modified Time,GL Account,Created By,Created Time,Origin,Product ID,Source,Last Modified By,Record Currency,Record Conversion Rate,Test field,Barcode,HSN Code,test Pratim field,Unit Price,Commission Rate,Purchase Cost,Billing Type,Usage Unit,Qty/Unit,Qty. in Stock,Reorder Level,Handler,Reserved Stock,Defective Stock,Reorder Qty,Available Stock,Committed Stock,Incoming Stock,Product Image,Description,VAT,VAT-UAE,VAT-Exports,Service,Service-Exports,Service-UAE,Sales,Shipping & Handling Tax,Shipping & Handling Tax-UAE,Shipping & Handling Tax-Exports,VAT On Shipping & Documents,VAT On Shipping & Documents-UAE,VAT On Shipping & Documents-Exports
835,Solo,F8350B050.2226,CHECK VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,50,17-12-25 11:20,,a.jacob@virme.ae,29-10-17 7:23,ITALY,PRO308,IMPORT,y.ali@virme.ae,AED,1,,,,1234,254.29,0,103.52,,Pieces,,20,0,y.ali@virme.ae,0,0,0,7,13,0,,"BRONZE SWING CHECK VALVE, THREADED TO BS21, PN16",,,,,,,,,,,,,
90,Solo,F0900B040.2683,GATE VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,40,17-12-25 11:18,,y.ali@virme.ae,25-02-18 13:15,ITALY,PRO898,CRM,y.ali@virme.ae,AED,1,,,,1234,150.46,0,71.96,,Pieces,,376,0,y.ali@virme.ae,0,0,0,-610,986,1190,,"BRONZE GATE VALVES, NON RISING STEM, THREADED TO BS21, PN16",,,,,,,,,,,,,
90,Solo,F0900B032.2683,GATE VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,32,17-12-25 11:18,,y.ali@virme.ae,25-02-18 13:13,ITALY,PRO897,CRM,y.ali@virme.ae,AED,1,,,,1234,129.72,0,56.71,,Pieces,,605,0,y.ali@virme.ae,0,0,0,471,134,675,,"BRONZE GATE VALVES, NON RISING STEM, THREADED TO BS21, PN16",,,,,,,,,,,,,
765K,Solo,F765K0040.3195,CHECK VALVE,Yes,,,,,,,,,,40,17-12-25 11:06,,y.ali@virme.ae,01-05-23 14:17,CHINA,PRO1525,CRM,y.ali@virme.ae,USD,0.27229,,,,,112.14,,20,One time,Pieces,,213,0,y.ali@virme.ae,,0,0,13,200,0,undefined,"SPRING-LOADED BRASS CHECK VALVE, THREADED F/F (ISO 7/1 RP), PN25",,,,,,,,,,,,,
776,Solo,F77600150.1013,CHECK VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,150,17-12-25 9:19,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO294,IMPORT,y.ali@virme.ae,AED,1,,,,1234,897.14,0,260.48,,Pieces,,5,0,y.ali@virme.ae,0,0,0,3,2,17,,"CAST IRON DUAL PLATE CHECK VALVE, WAFER TYPE, STAINLESS STEEL DISC, PN16",,,,,,,,,,,,,
33FF,Solo,F33FF0050.2572,BALL VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,50,17-12-25 9:19,,a.jacob@virme.ae,29-10-17 7:24,ITALY,PRO431,IMPORT,d.estay@virme.ae,AED,1,,,,1234,179.06,0,74.42,,Pieces,,224,0,y.ali@virme.ae,0,0,0,224,0,220,,"NICKEL PLATED BRASS BALL VALVE, FULL BORE, THREADED TO BS21, PN32",,,,,,,,,,,,,
342,Solo,F3420A040.131,BALL VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,40,17-12-25 9:19,,y.ali@virme.ae,14-01-19 10:47,ITALY,PRO967,CRM,y.ali@virme.ae,AED,1,,,,1234,139.5,0,0,,Pieces,,18,0,y.ali@virme.ae,0,0,0,18,0,0,342_big.png,"BRASS BALL VALVE WITH DRAIN, THREADED ENDS, PN40Â ",,,,,,,,,,,,,
342,Solo,F3420A050.131,BALL VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,50,17-12-25 9:19,,y.ali@virme.ae,14-01-19 10:47,ITALY,PRO968,CRM,d.estay@virme.ae,AED,1,,,,1234,209.78,0,0,,Pieces,,78,0,y.ali@virme.ae,0,0,0,78,0,96,342_big.png,"BRASS BALL VALVE WITH DRAIN, THREADED ENDS, PN40Â ",,,,,,,,,,,,,
4325G,Solo,F4325G080.1009,BUTTERFLY VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,80,17-12-25 9:19,,y.ali@virme.ae,13-01-24 6:58,CHINA,PRO1562,CRM,y.ali@virme.ae,USD,0.27229,,,,1234,0,0,51.26,One time,Pieces,,12,0,y.ali@virme.ae,0,0,0,12,0,204,undefined,"DUCTILE IRON BUTTERFLY VALVE, LUG TYPE, STAINLESS STEEL DISC AND STEM, EPDM LINED, GEAR OPERATED, PN16",,,,,,,,,,,,,
835,Solo,F8350B040.2226,CHECK VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,40,16-12-25 11:53,,a.jacob@virme.ae,29-10-17 7:23,ITALY,PRO307,IMPORT,y.ali@virme.ae,AED,1,,,,1234,192.42,0,76.33,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-642,642,645,,"BRONZE SWING CHECK VALVE, THREADED TO BS21, PN16",,,,,,,,,,,,,
895H,Solo,F8951I100.2932,STRAINER,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,100,16-12-25 11:53,,y.ali@virme.ae,10-12-20 17:57,CHINA,PRO1307,CRM,d.estay@virme.ae,AED,1,,,,1234,1172.46,0,639.52,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-1,1,1,,"DUCTILE IRON STRAINER, SS SCREEN, 1.5MM PERFORATION, FLANGED TO EN1092, PN25",,,,,,,,,,,,,
325,Solo,F325I0040.828,BALL VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,40,16-12-25 11:53,,y.ali@virme.ae,20-10-23 9:08,ITALY,PRO1556,CRM,y.ali@virme.ae,AED,1,,,,1234,0,0,81.55,One time,Pieces,,0,0,y.ali@virme.ae,0,0,0,-1,1,4,undefined,"TWO WAY BRASS BALL VALVE WITH CONNECTION FOR ACTUATOR, THREADED F/M WITH UNION ENDS, PN40",,,,,,,,,,,,,
900,Solo,F9000B040.1553,STRAINER,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,40,16-12-25 10:52,,a.jacob@virme.ae,29-10-17 7:23,ITALY,PRO344,IMPORT,d.estay@virme.ae,AED,1,,,,1234,233.18,0,68.17,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-338,338,360,,"BRONZE STRAINER, SS SCREEN, 0.8MM PERFORATION, THREADED TO BS21, PN20",,,,,,,,,,,,,
4325L,Solo,F4325L150.929,BUTTERFLY VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,150,16-12-25 8:27,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO259,IMPORT,d.estay@virme.ae,AED,1,,,,1234,840.2,0,286.06,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-42,42,205,,"DUCTILE IRON BUTTERFLY VALVE, LUG TYPE, STAINLESS STEEL DISC AND STEM, EPDM LINED, LEVER OPERATED, PN16",,,,,,,,,,,,,
900,Solo,F9000B050.1553,STRAINER,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,50,16-12-25 8:27,,a.jacob@virme.ae,29-10-17 7:23,ITALY,PRO345,IMPORT,d.estay@virme.ae,AED,1,,,,1234,366.49,0,111.39,,Pieces,,7,0,y.ali@virme.ae,0,0,0,-81,88,120,,"BRONZE STRAINER, SS SCREEN, 0.8MM PERFORATION, THREADED TO BS21, PN20",,,,,,,,,,,,,
9555P,Solo,F9500I150.1959,STATIC BALANCING,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,150,16-12-25 8:26,,a.jacob@virme.ae,29-10-17 7:23,POLAND,PRO67,IMPORT,y.ali@virme.ae,AED,1,,,,1234,3148.94,0,75986.37,,Pieces,,3,0,y.ali@virme.ae,0,0,0,-11,14,32,,"CAST IRON DOUBLE REGULATING VALVE WITH TEST POINTS, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
895,Solo,F8951I065.842,STRAINER,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,65,16-12-25 8:26,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO357,IMPORT,y.ali@virme.ae,AED,1,,,,1234,309.22,0,136.05,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-38,38,53,,"CAST IRON STRAINER, SS SCREEN, 1.5MM PERFORATION, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
895,Solo,F8951I080.842,STRAINER,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,80,16-12-25 8:26,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO358,IMPORT,y.ali@virme.ae,AED,1,,,,1234,382.32,0,156.59,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-18,18,32,,"CAST IRON STRAINER, SS SCREEN, 1.5MM PERFORATION, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
895,Solo,F8951I200.842,STRAINER,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,200,16-12-25 8:26,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO362,IMPORT,y.ali@virme.ae,AED,1,,,,1234,2345.36,0,790.42,,Pieces,,6,0,y.ali@virme.ae,0,0,0,-4,10,11,,"CAST IRON STRAINER, SS SCREEN, 2.0MM PERFORATION, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
40,Solo,F040K0050.1872,GATE VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,50,16-12-25 7:10,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO155,IMPORT,y.ali@virme.ae,AED,1,,,,1234,141.5,0,207.87,,Pieces,,285,0,y.ali@virme.ae,0,0,0,259,26,20,,"BRASS GATE VALVES, NON RISING STEM, THREADED TO BS21, PN16",,,,,,,,,,,,,
33FF,Solo,F33FF0020.2572,BALL VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,20,16-12-25 5:28,,a.jacob@virme.ae,29-10-17 7:24,ITALY,PRO427,IMPORT,y.ali@virme.ae,AED,1,,,,1234,29.85,0,12.27,,Pieces,,2440,0,y.ali@virme.ae,0,0,0,-3446,5886,8610,,"NICKEL PLATED BRASS BALL VALVE, FULL BORE, THREADED TO BS21, PN32",,,,,,,,,,,,,
9505,Solo,F9505B015.946,STATIC BALANCING,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,15,16-12-25 5:22,,a.jacob@virme.ae,29-10-17 7:23,ITALY,PRO43,IMPORT,d.estay@virme.ae,AED,1,,,,1234,172.62,0,67.95,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-2020,2020,3765,,"VARIABLE ORIFICE BRONZE DOUBLE REGULATING VALVE, WITH TEST POINTS, THREADED TO BS21, PN25",,,,,,,,,,,,,
776,Solo,F77600100.1013,CHECK VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,100,16-12-25 4:45,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO292,IMPORT,d.estay@virme.ae,AED,1,,,,1234,496.84,0,131.05,,Pieces,,17,0,y.ali@virme.ae,0,0,0,15,2,5,,"CAST IRON DUAL PLATE CHECK VALVE, WAFER TYPE, STAINLESS STEEL DISC, PN16",,,,,,,,,,,,,
765K,Solo,F765K0032.3195,CHECK VALVE,Yes,,,,,,,,,,32,15-12-25 10:31,,y.ali@virme.ae,01-05-23 14:15,CHINA,PRO1524,CRM,y.ali@virme.ae,USD,0.27229,,,,,83.54,,13.33,One time,Pieces,,415,0,y.ali@virme.ae,,0,0,-502,917,400,undefined,"SPRING-LOADED BRASS CHECK VALVE, THREADED F/F (ISO 7/1 RP), PN25",,,,,,,,,,,,,
4620L,Solo,F4620L100.927,BUTTERFLY VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,100,15-12-25 10:06,,y.ali@virme.ae,25-04-20 19:10,CHINA,PRO1258,CRM,d.estay@virme.ae,AED,1,,,,1234,324.55,0,177.02,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-28,28,10,,"DUCTILE IRON BUTTERFLY VALVE, LUG TYPE, DUCTILE IRON NICKEL PLATED DISC, SS STEM, EPDM LINED, LEVER OPERATED, PN25",,,,,,,,,,,,,
4620G,Solo,F4620G250.928,BUTTERFLY VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,250,15-12-25 10:06,,y.ali@virme.ae,27-09-20 12:56,CHINA,PRO1284,CRM,y.ali@virme.ae,AED,1,,,,1234,2122.04,0,1157.48,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-5,5,14,,"DUCTILE IRON BUTTERFLY VALVE, LUG TYPE, DUCTILE IRON NICKEL PLATED DISC, SS STEM, EPDM LINED, GEAR OPERATED, PN25",,,,,,,,,,,,,
KGTF,Solo,KGT800150.1124,FLEXIBLE CONNECTION,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,150,15-12-25 7:53,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO372,IMPORT,y.ali@virme.ae,AED,1,,,,1234,465.96,0,176.62,,Pieces,,1,0,y.ali@virme.ae,0,0,0,1,0,25,,"FLEXIBLE BELLOW, REINFORCED EPDM RUBBER, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
765K,Solo,F765K0050.3195,CHECK VALVE,Yes,,,,,,,,,,50,15-12-25 7:29,,y.ali@virme.ae,01-05-23 14:17,CHINA,PRO1526,CRM,y.ali@virme.ae,USD,0.27229,,,,,176.42,,26.67,One time,Pieces,,0,0,y.ali@virme.ae,,0,0,-9,9,20,undefined,"SPRING-LOADED BRASS CHECK VALVE, THREADED F/F (ISO 7/1 RP), PN25",,,,,,,,,,,,,
KGTF,Solo,KGT800250.1124,FLEXIBLE CONNECTION,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,250,13-12-25 7:47,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO374,IMPORT,d.estay@virme.ae,AED,1,,,,1234,1035.2,0,399.55,,Pieces,,0,0,y.ali@virme.ae,0,0,0,0,0,0,,"FLEXIBLE BELLOW, REINFORCED EPDM RUBBER, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
KGTF,Solo,KGT800350.1124,FLEXIBLE CONNECTION,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,350,13-12-25 7:47,,y.ali@virme.ae,06-02-19 8:38,CHINA,PRO981,CRM,d.estay@virme.ae,AED,1,,,,1234,1476.07,0,805.12,,Pieces,,0,0,y.ali@virme.ae,0,0,0,0,0,0,,"FLEXIBLE BELLOW, REINFORCED EPDM RUBBER, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
,Solo,KFF760065.1371,STRAINER,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,65,13-12-25 7:37,,y.ali@virme.ae,31-01-24 8:20,ITALY,PRO1567,CRM,y.ali@virme.ae,AED,1,,,,1234,0,0,0,One time,Pieces,,0,0,y.ali@virme.ae,0,0,0,0,0,0,undefined,"FOOT STRAINER FOR FIG NO. 765K, THREADED M (ISO 228/1) STAINLESS STEEL AISI 304 POLYAMIDE END, MESH 1000 MICRON",,,,,,,,,,,,,
KGTF,Solo,KGT800065.1124,FLEXIBLE CONNECTION,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,65,13-12-25 7:36,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO368,IMPORT,d.estay@virme.ae,AED,1,,,,1234,181.54,0,67.33,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-8,8,8,,"FLEXIBLE BELLOW, REINFORCED EPDM RUBBER, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
4020L,Solo,F4020L100.927,BUTTERFLY VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,100,11-12-25 12:43,,a.jacob@virme.ae,29-10-17 7:23,CHINA,PRO208,IMPORT,d.estay@virme.ae,AED,1,,,,1234,295.59,0,134.69,,Pieces,,0,0,y.ali@virme.ae,0,0,0,0,0,0,,"DUCTILE IRON BUTTERFLY VALVE, SEMI LUG TYPE, DUCTILE IRON NICKEL PLATED DISC, SS STEM, EPDM LINED, LEVER OPERATED, PN16",,,,,,,,,,,,,
9705B,Solo,F9705B040.2717,PICV,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,40,11-12-25 11:28,,a.jacob@virme.ae,15-12-17 12:22,GERMANY,PRO862,CRM,d.estay@virme.ae,AED,1,,,,1234,1109.6,0,605.24,,Pieces,,0,0,y.ali@virme.ae,0,0,0,-16,16,0,,"DZR PRESSURE INDEPENDENT CONTROL VALVE (PICV), WITH REGULATION CARTRIDGE, INTEGRAL FLOW MEASUREMENT DEVICE, THREADED TO BS21, PN25",,,,,,,,,,,,,
9555P,Solo,F9500I125.1959,STATIC BALANCING,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,125,09-12-25 8:05,,a.jacob@virme.ae,29-10-17 7:23,POLAND,PRO66,IMPORT,y.ali@virme.ae,AED,1,,,,1234,2902.86,0,4450.92,,Pieces,,0,0,y.ali@virme.ae,0,0,0,0,0,6,,"CAST IRON DOUBLE REGULATING VALVE WITH TEST POINTS, FLANGED TO EN1092, PN16",,,,,,,,,,,,,
4620L,Solo,F4620L125.927,BUTTERFLY VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,125,09-12-25 8:05,,y.ali@virme.ae,13-07-20 10:08,CHINA,PRO1276,CRM,d.estay@virme.ae,AED,1,,,,1234,654.92,0,357.21,,Pieces,,8,0,y.ali@virme.ae,0,0,0,0,8,34,,"DUCTILE IRON BUTTERFLY VALVE, LUG TYPE, DUCTILE IRON NICKEL PLATED DISC, SS STEM, EPDM LINED, LEVER OPERATED, PN25",,,,,,,,,,,,,
895H,Solo,F8951I080.2932,STRAINER,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,80,09-12-25 8:05,,y.ali@virme.ae,21-12-20 8:50,CHINA,PRO1312,CRM,d.estay@virme.ae,AED,1,,,,1234,888.61,0,484.7,,Pieces,,2,0,y.ali@virme.ae,0,0,0,2,0,0,,"DUCTILE IRON STRAINER, SS SCREEN, 1.5MM PERFORATION, FLANGED TO EN1092, PN25",,,,,,,,,,,,,
33FF-BL,Solo,F33FFF025.2578,BALL VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,25,09-12-25 8:05,,y.ali@virme.ae,07-08-23 8:47,ITALY,PRO1545,CRM,y.ali@virme.ae,AED,1,,,,1234,49.04,0,20.62,One time,Pieces,,7,0,y.ali@virme.ae,0,0,0,7,0,0,undefined,"NICKEL PLATED BRASS BALL VALVE, FULL BORE, THREADED TO BS21, BUTTERFLY LEVER, PN 32",,,,,,,,,,,,,
33FF-BL,Solo,F33FFF032.2578,BALL VALVE,Yes,,Vendors::::VIR Valvoindustria Ing. Rizzio SpA,,,,,,,,32,09-12-25 8:05,,y.ali@virme.ae,07-08-23 8:48,ITALY,PRO1546,CRM,y.ali@virme.ae,AED,1,,,,1234,73.01,0,31.68,One time,Pieces,,0,0,y.ali@virme.ae,0,0,0,-160,160,175,undefined,"NICKEL PLATED BRASS BALL VALVE, FULL BORE, THREADED TO BS21, BUTTERFLY LEVER, PN 32",,,,,,,,,,,,,
